,Unnamed: 0,player_id,start_time,player_team_id,home_team_id,ground_id,international_class_id,floodlit,neutral_match,international_valid,followon,rain_rule,days_extended,actual_days,position_id,style_id,height,weight,current_age_in_days,batting_order,opponent_team_id,target_value,target_id,is_home,current_age
26444,13071,512191,2022-09-04 14:00:00,7,0,2439,3.0,3,1,1,0,0,0,1,6,0,0.0,0.0,11835,3,6,15.0,1,False,32.42465753424658
26445,13072,512191,2020-11-08 10:30:00,7,7,1001,3.0,2,0,1,0,0,0,1,6,0,0.0,0.0,11170,1,9,5.0,1,True,30.6027397260274
26446,13073,512191,2019-10-09 13:30:00,7,7,545,3.0,3,0,1,0,0,0,1,6,0,0.0,0.0,10774,1,8,0.0,1,True,29.51780821917808
26447,13074,512191,2019-02-03 12:30:00,7,3,508,3.0,1,0,1,0,0,0,1,6,0,0.0,0.0,10526,2,3,14.0,1,False,28.83835616438356
26448,13075,512191,2017-10-26 16:00:00,7,0,1965,3.0,3,1,1,0,0,0,1,6,0,0.0,0.0,10061,1,8,6.0,1,False,27.56438356164384
26449,13077,512191,2021-11-20 08:00:00,7,25,2025,3.0,1,0,1,0,0,0,1,6,0,0.0,0.0,11547,3,25,57.0,1,False,31.635616438356163
26450,13078,512191,2021-10-26 14:00:00,7,0,848,3.0,3,1,1,0,0,0,1,6,0,0.0,0.0,11522,3,5,11.0,1,False,31.567123287671237
26451,13079,512191,2021-04-23 09:00:00,7,9,260,3.0,1,0,1,0,0,0,1,6,0,0.0,0.0,11336,3,9,2.0,1,False,31.057534246575344
26452,13080,512191,2018-11-02 16:00:00,7,0,2439,3.0,3,1,1,0,0,0,1,6,0,0.0,0.0,10433,1,5,24.0,1,False,28.583561643835612
26453,13081,512191,2020-11-10 10:30:00,7,7,1001,3.0,2,0,1,0,0,0,1,6,0,0.0,0.0,11172,1,9,21.0,1,True,30.60821917808219
26454,13082,512191,2017-10-27 16:00:00,7,0,1965,3.0,3,1,1,0,0,0,1,6,0,0.0,0.0,10062,2,8,11.0,1,False,27.567123287671237
26455,13083,512191,2018-04-03 14:30:00,7,7,487,3.0,1,0,1,0,0,0,1,6,0,0.0,0.0,10220,1,4,40.0,1,True,28.0
26456,13084,512191,2021-04-16 12:30:00,7,3,902,3.0,1,0,1,0,0,0,1,6,0,0.0,0.0,11329,3,3,60.0,1,False,31.03835616438356
26457,13085,512191,2021-04-10 12:30:00,7,3,508,3.0,1,0,1,0,0,0,1,6,0,0.0,0.0,11323,3,3,27.0,1,False,31.02191780821918
26458,13086,512191,2019-02-01 16:00:00,7,3,174,3.0,3,0,1,0,0,0,1,6,0,0.0,0.0,10524,1,3,4.0,1,False,28.832876712328765
26459,13087,512191,2018-07-04 08:00:00,7,9,260,3.0,1,0,1,0,0,0,1,6,0,0.0,0.0,10312,1,9,47.0,1,False,28.252054794520543
26460,13088,512191,2022-09-11 14:00:00,7,0,2439,3.0,3,1,1,0,0,0,1,6,0,0.0,0.0,11842,3,8,0.0,1,False,32.44383561643836
26461,13089,512191,2021-10-29 14:00:00,7,0,2439,3.0,3,1,1,0,0,0,1,6,0,0.0,0.0,11525,3,40,30.0,1,False,31.575342465753423
26462,13090,512191,2021-04-14 12:30:00,7,3,902,3.0,1,0,1,0,0,0,1,6,0,0.0,0.0,11327,3,3,8.0,1,False,31.03287671232877
26463,13091,512191,2018-07-08 08:00:00,7,0,260,3.0,1,1,1,0,0,0,1,6,0,0.0,0.0,10316,1,2,91.0,1,False,28.263013698630136
26464,13092,512191,2022-09-07 14:00:00,7,0,848,3.0,3,1,1,0,0,0,1,6,0,0.0,0.0,11838,3,40,5.0,1,False,32.43287671232877
26465,13093,512191,2021-07-18 13:30:00,7,1,179,3.0,1,0,1,0,0,0,1,6,0,0.0,0.0,11422,5,1,8.0,1,False,31.293150684931508
26466,13094,512191,2020-11-07 10:30:00,7,7,1001,3.0,2,0,1,0,0,0,1,6,0,0.0,0.0,11169,1,9,19.0,1,True,30.6
26467,13095,512191,2019-10-07 13:30:00,7,7,545,3.0,3,0,1,0,0,0,1,6,0,0.0,0.0,10772,2,8,6.0,1,True,29.51232876712329
26499,13153,1185538,2022-10-02 14:30:00,7,7,545,3.0,3,0,1,0,0,0,1,2,2,0.0,0.0,7708,8,1,5.0,1,True,21.117808219178084
26500,13171,1185538,2022-10-27 11:00:00,7,0,3404,3.0,3,1,1,0,0,0,1,2,2,0.0,0.0,7733,8,9,12.0,1,False,21.186301369863013
26607,13397,323389,2021-11-20 08:00:00,7,25,2025,3.0,1,0,1,0,0,0,1,9,2,0.0,0.0,10764,1,25,39.0,1,False,29.49041095890411
26608,13398,323389,2022-10-14 02:00:00,7,5,93,3.0,1,0,1,0,0,0,1,9,2,0.0,0.0,11092,1,5,34.0,1,False,30.389041095890413
26609,13399,323389,2021-10-26 14:00:00,7,0,848,3.0,3,1,1,0,0,0,1,9,2,0.0,0.0,10739,1,5,33.0,1,False,29.421917808219177
26610,13400,323389,2022-09-23 14:30:00,7,7,487,3.0,3,0,1,0,0,0,1,9,2,0.0,0.0,11071,1,1,8.0,1,True,30.33150684931507
26611,13401,323389,2022-09-07 14:00:00,7,0,848,3.0,3,1,1,0,0,0,1,9,2,0.0,0.0,11055,1,40,20.0,1,False,30.28767123287671
26612,13402,323389,2021-07-18 13:30:00,7,1,179,3.0,1,0,1,0,0,0,1,9,2,0.0,0.0,10639,1,1,37.0,1,False,29.14794520547945
26613,13403,323389,2021-02-14 13:00:00,7,7,545,3.0,3,0,1,0,0,0,1,9,2,0.0,0.0,10485,1,3,42.0,1,True,28.726027397260275
26614,13404,323389,2020-11-07 10:30:00,7,7,1001,3.0,2,0,1,0,0,0,1,9,2,0.0,0.0,10386,6,9,0.0,1,True,28.454794520547942
26615,13405,323389,2015-11-26 16:00:00,7,0,2439,3.0,3,1,1,0,0,0,1,9,2,0.0,0.0,8578,4,1,6.0,1,False,23.5013698630137
26616,13406,323389,2021-12-16 13:00:00,7,7,487,3.0,3,0,1,0,0,0,1,9,2,0.0,0.0,10790,1,4,87.0,1,True,29.56164383561644
26617,13407,323389,2021-11-19 08:00:00,7,25,2025,3.0,1,0,1,0,0,0,1,9,2,0.0,0.0,10763,1,25,11.0,1,False,29.487671232876718
26618,13408,323389,2021-04-23 09:00:00,7,9,260,3.0,1,0,1,0,0,0,1,9,2,0.0,0.0,10553,1,9,13.0,1,False,28.912328767123288
26619,13410,323389,2022-11-09 08:00:00,7,0,132,3.0,3,1,1,0,0,0,1,9,2,0.0,0.0,11118,1,5,57.0,1,False,30.46027397260274
26620,13411,323389,2022-10-27 11:00:00,7,0,3404,3.0,3,1,1,0,0,0,1,9,2,0.0,0.0,11105,1,9,14.0,1,False,30.42465753424657
